DURATION|age_group_cat|count|sum|prop|percent
14|0-4|31|2675|0.011588785046728972|1.1588785046728973
14|5-17|110|2675|0.041121495327102804|4.112149532710281
14|18-29|320|2675|0.11962616822429907|11.962616822429908
14|30-39|317|2675|0.11850467289719627|11.850467289719626
14|40-49|310|2675|0.11588785046728972|11.588785046728972
14|50-64|933|2675|0.348785046728972|34.8785046728972
14|65-74|364|2675|0.13607476635514018|13.607476635514018
14|75-84|177|2675|0.06616822429906542|6.616822429906542
14|85+|113|2675|0.04224299065420561|4.224299065420561
15|0-4|21|1727|0.012159814707585408|1.2159814707585408
15|5-17|73|1727|0.04226983207874928|4.226983207874928
15|18-29|213|1727|0.123335263462652|12.3335263462652
15|30-39|203|1727|0.11754487550665894|11.754487550665894
15|40-49|197|1727|0.11407064273306311|11.407064273306311
